res_is_redirect,res_headers_type_num,res_constitute_url_num,res_constitute_domain_type,res_state_code
0,11,38,8,200
0,0,0,0,522
0,11,42,6,200
0,11,71,6,200
0,13,65,9,200
0,13,45,5,200
1,11,864,105,200
0,11,110,41,200
0,13,430,55,200
0,11,8,2,200
0,0,0,0,502
0,11,38,9,200
0,11,144,9,200
0,11,173,11,200
1,12,231,62,200
0,12,137,28,200
1,13,210,19,200
0,11,82,20,200
0,0,0,0,404
0,11,817,56,200
0,11,290,25,200
0,11,40,10,200
0,11,38,9,200
0,0,0,0,502
0,0,0,0,502
0,12,199,11,200
1,11,442,36,200
0,11,89,13,200
1,13,228,37,200
0,11,35,3,200
0,11,27,2,200
0,13,108,14,200
0,0,0,0,502
0,11,38,9,200
0,13,386,51,200
0,11,254,34,200
0,11,55,11,200
0,13,199,20,200
0,11,43,14,200
0,0,0,0,502
0,11,38,9,200
0,0,0,0,502
0,11,38,9,200
0,11,315,13,200
0,11,25,7,200
0,11,38,9,200
0,11,2,1,200
0,11,57,14,200
0,11,33,7,200
0,11,39,10,200
0,0,0,0,502
0,0,0,0,502
0,12,208,65,200
0,11,131,24,200
0,11,38,9,200
0,11,38,9,200
1,11,61,8,200
1,11,25,5,200
0,0,0,0,502
0,0,0,0,502
0,11,618,106,200
0,11,147,13,200
0,11,521,64,200
0,11,18,7,200
0,11,473,62,200
0,0,0,0,502
0,13,74,10,200
0,0,0,0,500
0,11,58,5,200
0,11,26,8,200
0,13,57,3,200
0,11,38,9,200
0,13,173,11,200
0,13,34,5,200
0,11,51,11,200
0,13,31,8,200
0,11,38,9,200
0,0,0,0,502
0,13,165,9,200
0,11,38,9,200
0,11,38,9,200
0,11,343,44,200
0,12,977,11,200
0,0,0,0,502
0,13,851,93,200
0,0,0,0,502
0,11,211,26,200
0,11,38,9,200
0,11,33,9,200
0,11,115,4,200
0,11,118,6,200
1,13,9,4,200
0,13,8,2,200
0,13,7,3,200
0,11,55,13,200
0,0,0,0,502
0,13,1038,134,200
0,13,120,35,200
0,13,304,9,200
0,13,403,56,200
1,11,236,8,200
0,11,59,6,200
0,11,61,8,200
1,11,25,5,200
0,13,375,47,200
0,13,217,50,200
0,11,58,19,200
1,11,1059,224,200
0,0,0,0,502
1,13,600,26,200
1,13,7,4,200
0,11,13,4,200
1,13,110,19,200
0,11,38,9,200
0,11,38,9,200
0,11,244,15,200
0,11,23,6,200
0,11,312,8,200
0,11,273,9,200
0,11,102,15,200
0,11,187,17,200
0,0,0,0,502
0,0,0,0,502
0,11,116,17,200
0,0,0,0,502
0,0,0,0,502
0,11,38,4,200
0,11,903,124,200
0,0,0,0,403
0,0,0,0,403
0,13,121,10,200
0,13,65,9,200
0,0,0,0,502
0,13,19,4,200
0,0,0,0,502
0,0,0,0,502
