res_is_redirect,res_headers_type_num,res_constitute_url_num,res_constitute_domain_type,res_state_code
0,11,2,2,200
0,0,0,0,403
0,0,0,0,502
0,6,10,1,200
0,11,21,5,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,13,3,2,200
0,0,0,0,502
0,0,0,0,502
0,11,11,1,200
0,13,4,3,200
0,11,1,1,200
1,11,65,7,200
0,0,0,0,404
0,11,88,5,200
0,11,39,9,200
0,11,6,1,200
0,0,0,0,502
0,13,8,6,200
0,13,13,7,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,410
0,0,0,0,404
0,0,0,0,404
0,0,0,0,500
0,11,36,14,200
0,0,0,0,404
0,0,0,0,404
0,11,21,2,200
0,13,10,8,200
0,13,11,8,200
0,13,8,3,200
0,0,0,0,503
0,0,0,0,502
0,0,0,0,502
0,11,14,5,200
0,11,20,4,200
0,0,0,0,502
0,11,80,5,200
0,11,13,5,200
0,11,13,5,200
0,6,354,102,200
0,6,322,102,200
0,11,25,8,200
0,11,26,8,200
1,6,96,2,200
0,0,0,0,502
0,11,46,11,200
0,11,21,5,200
0,0,0,0,502
0,0,0,0,0
0,6,15,6,200
0,13,9,2,200
0,0,0,0,404
0,11,8,2,200
0,11,13,8,200
0,13,35,6,200
0,13,1,1,200
0,13,8,4,200
0,13,12,5,200
0,11,8,3,200
0,6,10,3,200
0,6,2,1,200
0,6,1,1,200
0,11,9,4,200
0,11,134,11,200
0,11,10,4,200
0,13,11,9,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,502
0,11,62,6,200
0,13,11,8,200
0,11,9,2,200
0,11,36,14,200
0,0,0,0,404
0,13,17,2,200
0,0,0,0,404
0,11,9,5,200
0,11,9,5,200
0,6,13,8,200
0,11,80,5,200
0,11,29,4,200
0,0,0,0,410
0,0,0,0,404
0,0,0,0,404
0,0,0,0,500
0,0,0,0,500
0,0,0,0,410
0,0,0,0,404
0,0,0,0,410
0,11,16,3,200
0,11,16,3,200
0,11,16,3,200
0,0,0,0,410
0,13,9,5,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,410
0,0,0,0,0
0,11,3,3,200
0,0,0,0,0
0,0,0,0,0
0,0,0,0,502
0,0,0,0,410
1,11,198,14,200
0,0,0,0,410
0,0,0,0,404
0,11,81,5,200
0,11,18,6,200
0,11,18,4,200
0,11,18,4,200
0,6,2,2,200
0,0,0,0,502
0,0,0,0,502
0,0,0,0,504
0,0,0,0,410
0,0,0,0,502
0,13,14,6,200
0,0,0,0,404
0,13,6,1,200
0,0,0,0,502
0,0,0,0,410
0,0,0,0,502
0,11,9,2,200
0,6,9,2,200
0,0,0,0,502
0,0,0,0,404
0,0,0,0,404
0,0,0,0,502
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,404
0,0,0,0,404
0,0,0,0,500
0,0,0,0,404
0,0,0,0,502
0,11,64,6,200
0,0,0,0,502
0,6,18,3,200
1,6,220,42,200
0,0,0,0,502
0,0,0,0,410
0,0,0,0,410
0,0,0,0,502
0,11,12,1,200
0,0,0,0,502
0,13,35,9,200
0,0,0,0,404
0,13,71,8,200
0,11,68,8,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,502
0,0,0,0,404
0,0,0,0,521
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,404
0,11,127,11,200
1,11,9,3,200
0,6,8,1,200
0,6,9,2,200
0,0,0,0,410
0,13,7,3,200
1,11,39,9,200
0,0,0,0,403
0,6,8,2,200
0,11,30,4,200
0,0,0,0,502
0,11,1,1,200
0,11,84,5,200
0,0,0,0,502
1,11,25,2,200
0,11,22,9,200
0,11,5,2,200
0,0,0,0,502
0,11,10,9,200
0,6,11,1,200
0,11,10,1,200
1,6,26,9,200
0,13,35,9,200
0,11,83,5,200
0,11,10,5,200
0,11,9,5,200
0,13,8,6,200
1,13,196,16,200
0,11,6,4,200
0,0,0,0,502
0,13,8,6,200
0,0,0,0,502
0,0,0,0,502
0,0,0,0,404
0,0,0,0,502
0,11,67,7,200
0,6,9,2,200
0,0,0,0,404
0,11,57,6,200
1,11,58,7,200
0,0,0,0,404
0,0,0,0,502
0,13,16,3,200
0,0,0,0,404
0,0,0,0,403
0,13,34,7,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,11,63,7,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,404
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,403
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,404
0,0,0,0,404
0,0,0,0,403
0,0,0,0,502
0,0,0,0,502
0,6,14,6,200
0,13,13,6,200
0,11,2,2,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,0,0,0,403
0,0,0,0,403
0,6,36,6,200
0,11,85,5,200
0,0,0,0,403
0,0,0,0,502
0,0,0,0,502
0,6,14,9,200
0,6,60,8,200
0,0,0,0,404
1,13,6,4,200
0,11,2,2,200
0,11,31,4,200
0,13,1,1,200
0,0,0,0,403
0,0,0,0,403
0,0,0,0,403
0,0,0,0,403
0,0,0,0,403
0,0,0,0,404
0,11,5,2,200
0,11,222,20,200
0,11,33,4,200
1,11,38,9,200
0,0,0,0,502
0,0,0,0,403
0,11,8,4,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,0,0,0,502
0,0,0,0,502
0,0,0,0,404
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,522
0,0,0,0,502
0,0,0,0,404
0,0,0,0,404
0,0,0,0,502
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,0,0,0,403
0,0,0,0,403
0,0,0,0,404
0,0,0,0,404
0,0,0,0,504
0,0,0,0,502
