page_len,page_tag_num,page_tech_num,page_domain_type_num,page_like_req_domain_num,page_unlike_req_domain_num,page_hidden_tag_num,page_have_copyright,page_have_redirect
207800,273,0,17,14,3,0,1,0
0,0,0,0,0,0,0,0,0
63294,238,0,46,41,5,0,1,1
109026,391,0,46,40,6,1,1,1
488217,312,2,54,51,3,14,1,1
26940,243,1,13,7,6,9,1,0
414228,1421,1,180,53,127,10,1,0
35496,353,0,7,5,2,4,0,0
752351,2961,1,344,310,34,11,1,0
84629,992,0,329,326,3,0,0,0
0,0,0,0,0,0,0,0,0
211618,277,0,18,10,8,0,1,0
189684,193,3,29,28,1,2,1,0
174258,108,2,6,6,0,2,1,0
348802,857,4,115,12,103,10,1,0
250306,696,4,115,84,31,7,1,0
318189,1339,2,346,98,248,2,1,0
163636,332,1,73,24,49,0,1,0
0,0,0,0,0,0,0,0,0
486086,4007,2,1278,983,295,27,1,0
216664,1759,1,198,38,160,3,1,0
33153,331,3,11,3,8,0,1,0
208502,277,0,18,9,9,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
107430,240,0,37,33,4,2,1,0
1841984,2126,0,133,15,118,6,0,0
314499,376,0,44,30,14,11,1,1
129,4,0,0,0,0,0,0,1
347828,223,0,0,0,0,0,1,0
348944,212,0,0,0,0,0,1,0
272326,1548,2,343,285,58,4,1,0
0,0,0,0,0,0,0,0,0
216898,277,0,18,9,9,0,1,0
699289,2192,1,302,284,18,11,1,0
345722,646,2,69,39,30,4,1,0
182517,239,1,14,1,13,0,1,0
273806,633,2,122,105,17,0,1,0
214931,234,0,48,32,16,2,1,0
0,0,0,0,0,0,0,0,0
210280,277,0,18,9,9,0,1,0
0,0,0,0,0,0,0,0,0
208491,278,0,18,9,9,0,1,0
849529,4206,1,369,326,43,94,1,0
29239,180,2,8,8,0,0,0,0
210324,277,0,18,11,7,0,1,0
3124,27,0,13,2,11,0,1,0
390938,602,1,20,18,2,0,0,0
301089,1594,1,267,13,254,2,0,0
208552,277,0,18,9,9,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
254817,819,4,120,94,26,11,1,0
309195,1990,5,220,197,23,6,0,0
207936,277,0,18,9,9,0,1,0
207590,277,0,18,9,9,0,1,0
165705,291,2,16,16,0,0,0,0
704220,541,0,4,0,4,2,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
395774,1793,3,45,35,10,2,0,0
148127,556,6,45,20,25,0,1,0
104325,966,3,54,50,4,4,1,0
27061,131,3,11,10,1,3,0,0
744923,2611,5,314,294,20,9,1,0
0,0,0,0,0,0,0,0,0
1648643,1679,2,267,251,16,0,1,0
0,0,0,0,0,0,0,0,0
168197,972,2,118,91,27,0,1,0
56274,394,3,46,44,2,2,0,0
281975,1371,1,281,252,29,0,1,0
208483,277,0,18,12,6,0,1,0
804769,2120,2,129,111,18,0,1,0
113665,105,0,7,6,1,0,1,0
30559,349,3,82,56,26,1,1,0
67121,388,3,35,29,6,3,1,0
207899,273,0,17,9,8,0,1,0
0,0,0,0,0,0,0,0,0
423051,1336,1,208,179,29,5,1,0
208465,277,0,18,13,5,0,1,0
208442,277,0,18,11,7,0,1,0
455148,1436,1,208,153,55,2,1,0
249016,963,0,175,9,166,30,1,0
0,0,0,0,0,0,0,0,0
476183,4735,3,963,910,53,81,1,0
0,0,0,0,0,0,0,0,0
522594,3752,6,557,526,31,7,1,0
210430,277,0,18,10,8,0,1,0
218140,292,3,88,88,0,3,0,0
222082,1638,0,113,101,12,2,1,0
52500,319,0,9,9,0,2,0,0
49254,1261,0,359,357,2,8,1,0
81810,77,0,11,11,0,1,1,0
5636,26,0,2,1,1,0,1,0
333653,1288,4,133,22,111,0,1,0
0,0,0,0,0,0,0,0,0
155484,1236,4,70,63,7,9,1,0
40136,163,4,14,13,1,7,1,0
781731,3034,1,366,329,37,12,1,0
594690,1773,4,295,75,220,4,1,0
358720,2796,0,386,377,9,10,1,0
89334,680,0,147,144,3,4,1,0
165705,291,2,16,16,0,0,0,0
704278,542,0,4,0,4,2,1,1
660015,2578,1,325,290,35,11,1,0
61114,462,2,87,82,5,2,1,0
10541,118,4,16,16,0,3,1,0
3177790,2866,8,435,178,257,36,1,0
0,0,0,0,0,0,0,0,0
357928,5861,4,1388,148,1240,12,0,0
18946,53,1,1,1,0,1,0,0
26942,39,0,2,1,1,0,0,0
53858,831,3,178,135,43,2,1,0
208435,277,0,18,9,9,0,1,0
208477,277,0,18,12,6,0,1,0
262958,579,0,116,110,6,1,0,0
8767,151,0,14,13,1,5,1,0
1157984,1551,3,135,130,5,0,0,0
405182,486,4,40,33,7,7,0,0
90100,433,2,54,33,21,2,1,0
322712,2737,5,674,659,15,2,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
160278,2783,3,546,355,191,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
227263,1177,0,73,50,23,0,1,1
1300668,4365,1,686,627,59,4,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
422229,1118,1,347,343,4,0,1,0
77785,267,0,38,35,3,0,1,0
0,0,0,0,0,0,0,0,0
13181,145,0,37,33,4,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
208535,277,0,18,15,3,0,1,0
707299,2971,6,285,281,4,3,1,0
295242,126,2,7,6,1,0,1,0
643845,2906,1,174,140,34,0,1,0
208075,277,0,18,12,6,0,1,0
210473,277,0,18,15,3,0,1,0
695738,2115,14,127,8,119,1,1,0
32705,123,3,4,2,2,1,0,0
674918,2795,1,206,193,13,8,1,0
1072313,860,7,125,93,32,23,1,0
1582493,1705,1,227,214,13,5,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
661717,2237,2,413,358,55,5,1,0
24945,179,0,17,9,8,2,1,0
208352,277,0,18,10,8,0,1,0
210253,277,0,18,12,6,0,1,0
205428,1427,3,404,377,27,4,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
207847,273,0,17,11,6,0,1,0
0,0,0,0,0,0,0,0,0
210036,277,0,18,9,9,0,1,0
0,0,0,0,0,0,0,0,0
411370,3606,1,325,325,0,3,1,0
0,0,0,0,0,0,0,0,0
170507,184,0,17,17,0,1,1,0
208259,277,0,18,9,9,0,1,0
25964,105,3,2,2,0,5,0,0
15788,176,2,17,16,1,0,1,0
17528,56,1,0,0,0,0,0,0
229529,1569,8,304,252,52,9,1,0
0,0,0,0,0,0,0,0,0
989104,3450,9,349,316,33,34,1,0
0,0,0,0,0,0,0,0,0
306297,381,1,95,39,56,0,1,0
215539,234,0,50,33,17,2,1,0
1544444,2797,10,322,307,15,8,1,1
6678,67,1,8,6,2,2,0,0
0,0,0,0,0,0,0,0,0
1800611,8763,7,1203,1175,28,29,1,0
510356,1022,1,150,28,122,3,1,0
106578,1267,0,224,213,11,7,1,0
0,0,0,0,0,0,0,0,0
237299,2654,9,402,380,22,17,1,0
288585,1276,6,324,302,22,20,1,0
304602,767,8,114,94,20,19,1,0
0,0,0,0,0,0,0,0,0
114747,740,2,111,67,44,2,1,0
10779,99,2,17,14,3,3,1,0
1187203,3079,7,591,381,210,7,1,0
202653,559,1,64,62,2,0,1,0
161145,148,1,18,18,0,1,0,0
159628,62,0,2,2,0,0,1,0
564406,3920,6,565,352,213,51,1,1
196050,626,1,125,121,4,1,1,0
41367,154,4,13,1,12,2,1,0
413996,2414,2,185,169,16,1,1,0
209075,273,0,17,4,13,0,1,0
1496116,2325,5,198,190,8,1,1,0
1601369,2384,5,201,192,9,4,1,0
0,0,0,0,0,0,0,0,0
277468,2081,8,331,303,28,50,1,0
329874,1573,3,402,390,12,1,1,0
251047,362,3,88,77,11,1,1,0
41583,200,1,24,18,6,2,1,0
62303,471,1,43,34,9,1,1,0
222607,1237,1,194,189,5,3,1,0
383701,1754,1,132,132,0,24,1,0
0,0,0,0,0,0,0,0,0
209196,277,0,18,9,9,0,1,0
997126,2175,5,230,217,13,16,1,0
0,0,0,0,0,0,0,0,0
208881,277,0,18,10,8,0,1,0
0,0,0,0,0,0,0,0,0
1166675,1697,5,279,221,58,19,1,0
181178,1940,4,299,207,92,8,1,0
208231,277,0,18,12,6,0,1,0
0,0,0,0,0,0,0,0,0
272186,1994,5,421,341,80,19,1,0
863470,4340,2,315,303,12,1,1,0
59668,215,2,20,18,2,3,1,0
371078,1069,7,150,128,22,23,1,0
97476,316,2,18,15,3,3,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
393582,802,1,73,57,16,0,1,0
6885,75,1,9,9,0,0,0,0
83588,1004,3,347,293,54,0,1,0
14361,99,2,3,3,0,0,0,0
527044,1754,1,298,262,36,12,1,0
2195656,3143,6,433,430,3,8,1,0
48748,146,5,4,4,0,1,0,0
564199,1949,7,212,209,3,6,0,0
103085,279,7,11,11,0,6,0,0
130293,564,12,102,86,16,9,0,0
304347,517,2,39,38,1,3,0,0
64771,744,8,37,37,0,11,1,0
39819,362,7,49,45,4,3,1,0
0,0,0,0,0,0,0,0,0
368821,2157,1,335,152,183,18,0,0
674408,4310,11,721,671,50,27,1,0
0,0,0,0,0,0,0,0,0
381984,2088,4,428,418,10,7,1,0
197227,865,2,158,149,9,0,1,0
210424,277,0,18,12,6,0,1,0
827922,2879,1,429,388,41,12,1,0
408300,1233,1,371,346,25,13,0,0
346739,1535,5,221,195,26,1,1,0
338801,3998,3,1062,1049,13,48,1,0
0,0,0,0,0,0,0,0,0
753605,2823,5,297,268,29,5,1,0
360848,1235,4,136,128,8,0,1,0
377097,1150,5,14,12,2,16,1,0
999544,991,7,201,172,29,18,1,0
1210371,1165,2,156,150,6,0,1,0
288397,1499,1,72,71,1,0,0,0
0,0,0,0,0,0,0,0,0
23019,77,2,0,0,0,0,0,0
97998,742,2,146,124,22,1,1,0
1342509,3510,2,600,271,329,2,1,0
0,0,0,0,0,0,0,0,0
208484,277,0,18,15,3,0,1,0
462483,4090,2,633,368,265,2,1,0
1301,15,0,2,0,2,0,0,0
29256,302,2,43,42,1,2,1,0
19049,52,0,0,0,0,0,0,0
434321,2179,1,655,631,24,1,1,0
156410,1426,11,421,410,11,15,1,0
0,0,0,0,0,0,0,0,0
331068,1092,3,98,88,10,14,1,0
0,0,0,0,0,0,0,0,0
208561,277,0,18,15,3,0,1,0
0,0,0,0,0,0,0,0,0
386187,1166,3,141,138,3,1,0,0
265595,595,3,49,47,2,1,0,0
112534,38,0,1,1,0,2,0,0
348395,1764,8,166,82,84,8,1,0
315258,2509,9,474,462,12,9,1,0
59530,174,9,6,4,2,1,0,0
295694,2168,2,313,308,5,1,1,0
210395,277,0,18,9,9,0,1,0
206933,1353,4,176,151,25,59,1,0
42388,436,3,80,50,30,60,1,0
11077,90,3,22,19,3,0,1,0
22880,192,3,23,17,6,1,1,0
685443,1944,3,179,111,68,3,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
112531,38,0,1,1,0,2,0,0
12532,148,1,17,8,9,1,0,0
13680,255,2,37,18,19,9,1,0
208480,277,0,18,9,9,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
47947,301,2,41,19,22,2,1,0
28169,160,1,13,5,8,2,1,0
648333,2083,3,123,114,9,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
399892,2869,6,667,529,138,26,1,0
0,0,0,0,0,0,0,0,0
518900,2642,2,389,372,17,37,1,0
44395,461,1,89,73,16,61,1,0
154506,610,3,33,27,6,1,1,0
0,0,0,0,0,0,0,0,0
397867,1406,3,232,222,10,2,0,0
398288,1408,3,232,222,10,2,0,0
450023,1507,7,304,297,7,3,1,0
15321,122,6,11,11,0,4,0,0
0,0,0,0,0,0,0,0,0
210408,277,0,18,12,6,0,1,0
1204674,2870,4,136,110,26,0,1,0
61181,253,9,7,0,7,12,0,0
56838,639,2,160,142,18,0,1,0
700536,2873,6,220,214,6,30,1,1
0,0,0,0,0,0,0,0,0
296100,738,4,57,19,38,4,0,0
212323,225,0,46,31,15,2,1,0
0,0,0,0,0,0,0,0,0
