res_is_redirect,res_headers_type_num,res_constitute_url_num,res_constitute_domain_type,res_state_code
0,11,33,7,200
0,0,0,0,522
0,11,40,6,200
0,11,69,6,200
0,13,44,8,200
0,13,45,5,200
1,11,576,81,200
0,11,28,11,200
0,13,259,9,200
0,11,8,2,200
0,0,0,0,502
0,11,33,8,200
0,11,92,8,200
0,11,108,8,200
1,12,141,43,200
0,12,79,14,200
1,13,144,17,200
0,11,75,17,200
0,0,0,0,404
0,11,750,55,200
0,11,111,22,200
0,11,22,6,200
0,11,33,8,200
0,0,0,0,502
0,0,0,0,502
0,12,8,3,200
1,11,155,27,200
0,11,73,10,200
1,13,2,2,200
0,11,19,3,200
0,11,18,2,200
0,13,62,7,200
0,0,0,0,502
0,11,33,8,200
0,13,220,9,200
0,11,125,27,200
0,11,37,10,200
0,13,140,16,200
0,11,40,13,200
0,0,0,0,502
0,11,33,8,200
0,0,0,0,502
0,11,33,8,200
0,11,199,10,200
0,11,20,4,200
0,11,34,8,200
0,11,2,1,200
0,11,46,14,200
0,11,32,7,200
0,11,36,9,200
0,0,0,0,502
0,0,0,0,502
0,12,115,34,200
0,11,93,24,200
0,11,33,8,200
0,11,33,8,200
1,11,60,8,200
1,11,21,4,200
0,0,0,0,502
0,0,0,0,502
0,11,118,22,200
0,11,93,11,200
0,11,205,49,200
0,11,17,6,200
0,11,269,43,200
0,0,0,0,502
0,13,73,10,200
0,0,0,0,500
0,11,42,4,200
0,11,23,8,200
0,13,43,3,200
0,11,33,8,200
0,13,87,9,200
0,13,10,4,200
0,11,41,8,200
0,13,31,8,200
0,11,33,8,200
0,0,0,0,502
0,13,102,8,200
0,11,33,8,200
0,11,35,8,200
0,11,187,17,200
0,12,51,11,200
0,0,0,0,502
0,13,568,29,200
0,0,0,0,502
0,11,121,20,200
0,11,33,8,200
0,11,33,9,200
0,11,86,2,200
0,11,98,4,200
1,13,9,4,200
0,13,8,2,200
0,13,6,2,200
0,11,52,13,200
0,0,0,0,502
0,13,988,132,200
0,13,120,35,200
0,13,231,8,200
0,13,375,54,200
1,11,190,8,200
0,11,58,6,200
0,11,60,8,200
1,11,20,4,200
0,13,212,8,200
0,13,33,12,200
0,11,43,18,200
1,11,675,209,200
0,0,0,0,502
1,13,291,22,200
1,13,6,3,200
0,11,9,4,200
1,13,106,17,200
0,11,33,8,200
0,11,33,8,200
0,11,17,4,200
0,11,10,2,200
0,11,238,8,200
0,11,233,8,200
0,11,75,12,200
0,11,113,15,200
0,0,0,0,502
0,0,0,0,502
0,11,110,17,200
0,0,0,0,502
0,0,0,0,502
0,11,37,4,200
0,11,343,93,200
0,0,0,0,403
0,0,0,0,403
0,13,96,8,200
0,13,31,6,200
0,0,0,0,502
0,13,19,4,200
0,0,0,0,502
0,0,0,0,502
0,11,33,8,200
0,11,168,14,200
0,11,23,8,200
0,11,57,4,200
0,11,33,8,200
0,11,33,8,200
1,11,80,27,200
0,11,38,10,200
0,13,154,8,200
0,13,347,128,200
0,11,115,15,200
0,0,0,0,502
0,0,0,0,502
0,13,63,8,200
1,11,12,5,200
0,11,34,8,200
0,11,33,8,200
0,13,116,21,200
0,0,0,0,502
0,0,0,0,502
0,11,33,8,200
0,0,0,0,502
0,11,33,8,200
0,0,0,0,502
0,13,197,22,200
0,0,0,0,502
0,13,11,4,200
0,11,33,8,200
0,11,60,29,200
0,13,40,9,200
1,11,13,4,200
0,11,256,69,200
0,0,0,0,502
1,11,891,196,200
0,0,0,0,502
1,11,36,14,200
0,11,36,10,200
0,11,525,134,200
0,11,14,4,200
0,0,0,0,502
0,13,1293,231,200
0,11,104,15,200
0,13,47,4,200
0,0,0,0,502
0,11,731,101,200
0,11,277,87,200
0,11,258,93,200
0,0,0,0,403
0,11,67,11,200
0,11,29,9,200
0,11,271,64,200
0,13,180,18,200
1,11,36,14,200
0,6,61,13,200
0,13,322,82,200
1,11,52,5,200
0,11,36,10,200
0,11,93,11,200
1,11,33,7,200
0,11,310,60,200
0,11,336,56,200
0,0,0,0,502
0,11,580,144,200
0,11,145,34,200
0,11,63,22,200
0,13,48,13,200
0,11,72,10,200
0,11,103,11,200
0,11,101,8,200
0,0,0,0,502
0,11,33,8,200
0,11,505,130,200
0,0,0,0,502
0,11,33,8,200
0,0,0,0,502
0,11,848,168,200
0,13,518,121,200
0,11,33,8,200
0,0,0,0,522
0,13,548,136,200
0,11,93,9,200
0,11,32,8,200
0,13,161,62,200
0,13,37,6,200
0,0,0,0,502
0,0,0,0,502
0,11,92,6,200
1,11,24,6,200
0,11,80,7,200
1,11,12,4,200
0,13,167,8,200
0,11,382,87,200
0,11,62,19,200
0,11,127,19,200
0,11,74,19,200
0,11,116,36,200
0,13,70,10,200
0,11,65,9,200
0,11,89,17,200
0,0,0,0,403
0,11,213,10,200
0,13,814,192,200
0,0,0,0,403
0,11,64,17,200
0,11,19,8,200
0,11,33,8,200
0,13,293,8,200
0,11,187,22,200
0,11,125,38,200
0,11,52,18,200
0,0,0,0,502
0,13,277,94,200
0,11,52,4,200
0,11,723,8,200
0,11,431,149,200
1,13,25,6,200
0,11,109,11,200
0,0,0,0,502
0,11,15,5,200
0,11,39,5,200
0,11,169,14,200
0,0,0,0,502
0,11,33,8,200
1,11,67,16,200
0,11,3,2,200
0,11,54,20,200
0,13,7,4,200
0,13,622,33,200
0,11,616,122,200
0,0,0,0,502
0,13,62,7,200
0,0,0,0,502
0,11,33,8,200
0,0,0,0,502
0,11,62,8,200
0,11,39,8,200
0,11,26,9,200
1,13,131,16,200
0,11,970,154,200
0,11,52,18,200
0,11,56,16,200
0,11,33,8,200
0,13,104,6,200
0,13,1,1,200
0,11,20,9,200
0,6,21,7,200
0,13,210,50,200
0,0,0,0,502
0,0,0,0,404
0,11,17,7,200
0,11,14,5,200
1,11,23,2,200
0,11,33,8,200
0,0,0,0,404
0,0,0,0,502
0,11,54,15,200
1,11,36,9,200
0,13,55,6,200
0,0,0,0,502
0,0,0,0,502
0,11,303,58,200
0,0,0,0,502
1,13,138,5,200
0,13,48,2,200
1,11,58,8,200
0,0,0,0,502
0,11,99,2,200
0,11,97,1,200
0,11,204,23,200
0,11,39,13,200
0,0,0,0,502
0,11,33,8,200
0,13,66,7,200
0,11,119,37,200
0,11,31,4,200
0,13,144,38,200
0,0,0,0,502
0,13,229,31,200
1,11,46,14,200
0,0,0,0,502
0,11,458,127,200
0,11,459,118,200
0,11,23,3,200
0,0,0,0,403
0,0,0,0,502
0,11,197,18,200
0,0,0,0,502
0,13,217,27,200
0,11,14,3,200
0,13,165,42,200
0,11,73,23,200
0,0,0,0,502
0,11,183,25,200
0,11,135,27,200
0,11,70,26,200
0,11,33,8,200
0,11,89,8,200
0,0,0,0,502
0,0,0,0,502
0,11,7,4,200
0,11,33,8,200
0,0,0,0,502
0,13,42,10,200
0,11,48,19,200
0,11,12,3,200
0,0,0,0,502
0,0,0,0,502
0,0,0,0,403
0,0,0,0,403
0,0,0,0,404
0,11,278,57,200
1,13,184,3,200
0,0,0,0,502
1,13,195,27,200
0,11,22,5,200
0,0,0,0,502
0,11,31,7,200
0,0,0,0,502
0,11,165,19,200
0,13,12,5,200
0,11,203,34,200
0,11,20,3,200
0,11,392,34,200
0,13,10,5,200
0,13,33,7,200
0,0,0,0,502
0,11,61,4,200
0,13,97,11,200
0,13,26,7,200
1,11,18,2,200
0,11,33,8,200
0,0,0,0,502
0,11,81,20,200
0,13,97,24,200
0,11,896,195,200
0,13,94,17,200
1,13,21,7,200
0,11,46,7,200
0,11,217,31,200
1,11,213,63,200
1,11,48,13,200
0,11,33,8,200
0,11,89,8,200
0,11,33,8,200
0,13,154,50,200
