res_is_redirect,res_headers_type_num,res_constitute_url_num,res_constitute_domain_type,res_state_code
0,11,2,2,200
0,0,0,0,403
0,0,0,0,502
0,6,10,1,200
0,11,19,4,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,13,3,2,200
0,0,0,0,502
0,0,0,0,502
0,11,11,1,200
0,13,4,3,200
0,11,1,1,200
1,11,65,7,200
0,0,0,0,404
0,11,43,5,200
0,11,39,9,200
0,11,6,1,200
0,0,0,0,502
0,13,8,6,200
0,13,13,7,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,410
0,0,0,0,404
0,0,0,0,404
0,0,0,0,500
0,11,22,7,200
0,0,0,0,404
0,0,0,0,404
0,11,21,2,200
0,13,10,8,200
0,13,11,8,200
0,13,8,3,200
0,0,0,0,503
0,0,0,0,502
0,0,0,0,502
0,11,12,3,200
0,11,20,4,200
0,0,0,0,502
0,11,39,5,200
0,11,13,5,200
0,11,13,5,200
0,6,106,37,200
0,6,106,36,200
0,11,10,5,200
0,11,11,5,200
1,6,4,2,200
0,0,0,0,502
0,11,36,10,200
0,11,19,4,200
0,0,0,0,502
0,0,0,0,0
0,6,15,6,200
0,13,9,2,200
0,0,0,0,404
0,11,8,2,200
0,11,7,4,200
0,13,34,5,200
0,13,1,1,200
0,13,8,4,200
0,13,11,4,200
0,11,8,3,200
0,6,10,3,200
0,6,2,1,200
0,6,1,1,200
0,11,9,4,200
0,11,16,8,200
0,11,7,3,200
0,13,9,8,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,502
0,11,49,2,200
0,13,11,8,200
0,11,5,2,200
0,11,36,14,200
0,0,0,0,404
0,13,17,2,200
0,0,0,0,404
0,11,9,5,200
0,11,9,5,200
0,6,13,8,200
0,11,39,5,200
0,11,28,4,200
0,0,0,0,410
0,0,0,0,404
0,0,0,0,404
0,0,0,0,500
0,0,0,0,500
0,0,0,0,410
0,0,0,0,404
0,0,0,0,410
0,11,5,1,200
0,11,5,1,200
0,11,5,1,200
0,0,0,0,410
0,13,4,4,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,410
0,0,0,0,0
0,11,3,3,200
0,0,0,0,0
0,0,0,0,0
0,0,0,0,502
0,0,0,0,410
1,11,180,13,200
0,0,0,0,410
0,0,0,0,404
0,11,81,5,200
0,11,11,6,200
0,11,5,1,200
0,11,5,1,200
0,6,2,2,200
0,0,0,0,502
0,0,0,0,502
0,0,0,0,504
0,0,0,0,410
0,0,0,0,502
0,13,14,6,200
0,0,0,0,404
0,13,6,1,200
0,0,0,0,502
0,0,0,0,410
0,0,0,0,502
0,11,5,2,200
0,6,4,2,200
0,0,0,0,502
0,0,0,0,404
0,0,0,0,404
0,0,0,0,502
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,404
0,0,0,0,404
0,0,0,0,500
0,0,0,0,404
0,0,0,0,502
0,11,51,2,200
0,0,0,0,502
0,6,18,3,200
1,6,184,34,200
0,0,0,0,502
0,0,0,0,410
0,0,0,0,410
0,0,0,0,502
0,11,12,1,200
0,0,0,0,502
0,13,34,8,200
0,0,0,0,404
0,13,22,5,200
0,11,21,5,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,502
0,0,0,0,404
0,0,0,0,521
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,404
0,11,127,11,200
1,11,2,2,200
0,6,5,1,200
0,6,4,2,200
0,0,0,0,410
0,13,6,2,200
1,11,34,8,200
0,0,0,0,403
0,6,8,2,200
0,11,28,4,200
0,0,0,0,502
0,11,1,1,200
0,11,43,5,200
0,0,0,0,502
1,11,25,2,200
0,11,19,8,200
0,11,5,2,200
0,0,0,0,502
0,11,8,8,200
0,6,11,1,200
0,11,10,1,200
1,6,26,9,200
0,13,34,8,200
0,11,42,5,200
0,11,10,5,200
0,11,9,5,200
0,13,8,6,200
1,13,179,15,200
0,11,6,4,200
0,0,0,0,502
0,13,8,6,200
0,0,0,0,502
0,0,0,0,502
0,0,0,0,404
0,0,0,0,502
0,11,51,3,200
0,6,6,2,200
0,0,0,0,404
0,11,44,2,200
1,11,45,3,200
0,0,0,0,404
0,0,0,0,502
0,13,9,1,200
0,0,0,0,404
0,0,0,0,403
0,13,33,6,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,11,46,3,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,404
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,403
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,404
0,0,0,0,404
0,0,0,0,403
0,0,0,0,502
0,0,0,0,502
0,6,14,6,200
0,13,13,6,200
0,11,2,2,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,0,0,0,403
0,0,0,0,403
0,6,35,6,200
0,11,44,5,200
0,0,0,0,403
0,0,0,0,502
0,0,0,0,502
0,6,14,9,200
0,6,55,3,200
0,0,0,0,404
1,13,6,4,200
0,11,2,2,200
0,11,28,4,200
0,13,1,1,200
0,0,0,0,403
0,0,0,0,403
0,0,0,0,403
0,0,0,0,403
0,0,0,0,403
0,0,0,0,404
0,11,5,2,200
0,11,149,12,200
0,11,28,4,200
1,11,33,8,200
0,0,0,0,502
0,0,0,0,403
0,11,8,4,200
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,0,0,0,502
0,0,0,0,502
0,0,0,0,404
0,0,0,0,502
0,0,0,0,502
0,0,0,0,502
0,0,0,0,522
0,0,0,0,502
0,0,0,0,404
0,0,0,0,404
0,0,0,0,502
0,0,0,0,404
0,0,0,0,404
0,0,0,0,404
0,0,0,0,403
0,0,0,0,403
0,0,0,0,404
0,0,0,0,404
0,0,0,0,504
0,0,0,0,502
