page_len,page_tag_num,page_tech_num,page_domain_type_num,page_like_req_domain_num,page_unlike_req_domain_num,page_hidden_tag_num,page_have_copyright,page_have_redirect
207800,273,0,17,14,3,0,1,0
0,0,0,0,0,0,0,0,0
63294,238,0,46,41,5,0,1,1
109026,391,0,46,40,6,1,1,1
569785,391,2,62,58,4,27,1,1
26940,243,1,13,7,6,9,1,0
487646,1721,1,211,58,153,11,1,0
36169,355,0,7,5,2,6,0,0
768922,2969,1,346,312,34,10,1,0
84479,991,0,328,325,3,0,0,0
0,0,0,0,0,0,0,0,0
211618,277,0,18,10,8,0,1,0
189684,193,3,29,28,1,2,1,0
182553,171,3,9,9,0,2,1,0
409558,857,4,115,12,103,9,1,0
307122,705,4,115,84,31,8,1,0
453566,2159,2,456,148,308,3,1,0
163636,332,1,73,24,49,0,1,0
0,0,0,0,0,0,0,0,0
489090,4014,2,1280,985,295,24,1,0
291458,2308,1,246,38,208,4,1,0
36280,346,3,13,3,10,1,1,0
208502,277,0,18,9,9,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
184748,488,0,74,48,26,4,1,0
2144762,4787,0,289,23,266,7,0,0
313958,369,0,44,30,14,11,1,1
647331,3052,2,554,338,216,9,0,1
459926,389,0,17,13,4,1,1,0
461802,386,0,20,16,4,1,1,0
446679,1564,2,343,285,58,6,1,0
0,0,0,0,0,0,0,0,0
216898,277,0,18,9,9,0,1,0
715695,2199,1,304,286,18,10,1,0
445937,1399,2,117,42,75,6,1,0
244027,414,1,17,1,16,3,1,0
289705,789,2,214,164,50,0,1,0
214931,234,0,48,32,16,2,1,0
0,0,0,0,0,0,0,0,0
210280,277,0,18,9,9,0,1,0
0,0,0,0,0,0,0,0,0
208491,278,0,18,9,9,0,1,0
849529,4206,1,369,326,43,94,1,0
27986,167,2,8,8,0,0,0,0
210324,277,0,18,11,7,0,1,0
3124,27,0,13,2,11,0,1,0
390429,601,1,20,18,2,0,0,0
301089,1594,1,267,13,254,2,0,0
208552,277,0,18,9,9,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
307712,824,4,120,94,26,11,1,0
309208,1990,5,220,197,23,6,0,0
207936,277,0,18,9,9,0,1,0
207590,277,0,18,9,9,0,1,0
165774,291,2,16,16,0,0,0,0
702796,540,0,4,0,4,2,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
479579,2406,4,89,68,21,4,0,0
148127,556,6,45,20,25,0,1,0
262811,2253,3,70,67,3,5,1,0
27061,131,3,11,10,1,3,0,0
871537,3903,5,374,354,20,9,1,0
0,0,0,0,0,0,0,0,0
1648643,1679,2,267,251,16,0,1,0
0,0,0,0,0,0,0,0,0
169885,972,2,118,91,27,0,1,0
57638,400,3,46,44,2,2,0,0
281864,1371,1,281,252,29,0,1,0
208483,277,0,18,12,6,0,1,0
1370424,5465,2,455,413,42,0,1,0
113572,104,0,7,6,1,0,1,0
30587,349,3,82,56,26,1,1,0
67121,388,3,35,29,6,3,1,0
207899,273,0,17,9,8,0,1,0
0,0,0,0,0,0,0,0,0
440806,1344,1,210,181,29,5,1,0
208465,277,0,18,13,5,0,1,0
208442,277,0,18,11,7,0,1,0
422162,1120,1,145,110,35,3,1,0
301327,963,0,175,9,166,29,1,0
0,0,0,0,0,0,0,0,0
476310,4736,3,963,910,53,81,1,0
0,0,0,0,0,0,0,0,0
574364,4406,8,746,526,220,8,1,0
210430,277,0,18,10,8,0,1,0
218140,292,3,88,88,0,3,0,0
222190,1638,0,113,101,12,1,1,0
52757,320,0,9,9,0,2,0,0
49254,1261,0,359,357,2,8,1,0
81810,77,0,11,11,0,1,1,0
5636,26,0,2,1,1,0,1,0
334156,1290,4,133,22,111,0,1,0
0,0,0,0,0,0,0,0,0
159826,1253,4,96,90,6,10,1,0
40136,163,4,14,13,1,7,1,0
799380,3042,1,368,331,37,11,1,0
594995,1776,4,295,75,220,5,1,0
360091,2829,0,386,377,9,10,1,0
89334,680,0,147,144,3,4,1,0
165774,291,2,16,16,0,0,0,0
701438,540,0,4,0,4,2,1,1
677836,2585,1,327,292,35,10,1,0
112692,533,7,88,83,5,13,1,0
41327,124,5,16,16,0,3,1,0
3189823,2865,8,435,178,257,38,1,0
0,0,0,0,0,0,0,0,0
362078,5880,4,1388,148,1240,25,0,0
19070,54,1,1,1,0,1,0,0
26942,39,0,2,1,1,0,0,0
53946,832,3,178,135,43,2,1,0
208435,277,0,18,9,9,0,1,0
208477,277,0,18,12,6,0,1,0
289222,860,0,163,156,7,2,0,0
9360,154,0,14,13,1,5,1,0
1157201,1557,3,135,130,5,0,0,0
405289,486,4,40,33,7,7,0,0
91112,439,2,54,33,21,2,1,0
329624,2737,5,674,659,15,1,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
160340,2783,3,546,355,191,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
227275,1177,0,73,50,23,0,1,1
1361197,5261,1,830,768,62,5,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
422121,1114,1,346,342,4,0,1,0
77386,264,0,38,35,3,0,1,0
0,0,0,0,0,0,0,0,0
13181,145,0,37,33,4,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
208535,277,0,18,15,3,0,1,0
731476,3040,6,286,282,4,14,1,0
325240,130,2,7,6,1,0,1,0
231122,1581,8,305,228,77,10,1,0
208075,277,0,18,12,6,0,1,0
210473,277,0,18,15,3,0,1,0
695738,2115,14,127,8,119,1,1,0
32705,123,3,4,2,2,1,0,0
690858,2801,1,208,195,13,8,1,0
1081326,924,7,125,93,32,36,1,0
3195873,10576,1,1228,1194,34,10,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
881262,2277,2,417,362,55,11,1,0
266619,213,0,21,9,12,5,1,0
208352,277,0,18,10,8,0,1,0
210253,277,0,18,12,6,0,1,0
204852,1427,3,404,377,27,4,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
207847,273,0,17,11,6,0,1,0
0,0,0,0,0,0,0,0,0
210036,277,0,18,9,9,0,1,0
0,0,0,0,0,0,0,0,0
410323,3592,1,325,325,0,3,1,0
0,0,0,0,0,0,0,0,0
189919,202,2,17,17,0,1,1,0
208259,277,0,18,9,9,0,1,0
27354,110,4,2,2,0,6,0,0
15788,176,2,17,16,1,0,1,0
18056,57,1,1,0,1,0,0,0
230853,1580,8,306,254,52,10,1,0
0,0,0,0,0,0,0,0,0
1025349,3659,9,377,324,53,41,1,0
0,0,0,0,0,0,0,0,0
306297,381,1,95,39,56,0,1,0
215539,234,0,50,33,17,2,1,0
1556531,2836,11,322,307,15,27,1,1
7235,67,1,8,6,2,2,0,0
0,0,0,0,0,0,0,0,0
1802689,8692,7,1203,1175,28,34,1,0
512480,1024,1,150,28,122,3,1,0
107004,1269,1,224,213,11,7,1,0
0,0,0,0,0,0,0,0,0
237906,2655,9,402,380,22,18,1,0
255675,1282,6,325,303,22,20,1,0
306998,772,9,114,94,20,18,1,0
0,0,0,0,0,0,0,0,0
114747,740,2,111,67,44,2,1,0
10779,99,2,17,14,3,3,1,0
1190839,3090,7,591,381,210,11,1,0
214239,747,1,64,62,2,1,1,0
174339,306,1,110,87,23,2,1,0
168746,171,0,73,52,21,0,1,0
1168090,4445,9,590,362,228,68,1,1
218218,699,3,131,125,6,2,1,0
40375,153,4,13,1,12,1,1,0
413995,2414,2,185,169,16,1,1,0
209075,273,0,17,4,13,0,1,0
1611028,3222,5,179,179,0,1,1,0
1718700,3296,5,182,181,1,4,1,0
0,0,0,0,0,0,0,0,0
315909,2225,9,387,342,45,102,1,0
414297,3082,3,562,550,12,1,1,0
251047,362,3,88,77,11,1,1,0
158863,204,1,24,18,6,2,1,0
62318,472,1,43,34,9,1,1,0
222630,1237,1,194,189,5,3,1,0
721121,3632,1,255,255,0,84,1,0
0,0,0,0,0,0,0,0,0
209196,277,0,18,9,9,0,1,0
1014153,2176,5,230,217,13,17,1,0
0,0,0,0,0,0,0,0,0
208881,277,0,18,10,8,0,1,0
0,0,0,0,0,0,0,0,0
1170536,1710,5,279,221,58,21,1,0
184091,1941,4,299,207,92,9,1,0
208231,277,0,18,12,6,0,1,0
0,0,0,0,0,0,0,0,0
304099,2278,5,453,369,84,22,1,0
864267,4342,2,315,303,12,1,1,0
60407,217,2,20,18,2,3,1,0
379011,1315,6,182,158,24,28,1,0
98465,320,2,18,15,3,3,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
393635,803,1,73,57,16,0,1,0
6885,75,1,9,9,0,0,0,0
83588,1004,3,347,293,54,0,1,0
14361,99,2,3,3,0,0,0,0
544946,1762,1,300,264,36,11,1,0
2313319,3948,6,507,504,3,12,1,0
48748,146,5,4,4,0,1,0,0
813929,4722,7,452,449,3,6,0,0
103718,280,7,11,11,0,6,0,0
130319,564,12,102,86,16,9,0,0
306520,531,2,39,38,1,4,0,0
66594,758,8,37,37,0,13,1,0
39819,362,7,49,45,4,3,1,0
0,0,0,0,0,0,0,0,0
368821,2157,1,335,152,183,18,0,0
672050,4320,11,721,671,50,35,1,0
0,0,0,0,0,0,0,0,0
394305,2090,4,428,418,10,8,1,0
198382,899,3,158,149,9,5,1,0
210424,277,0,18,12,6,0,1,0
845757,2887,1,431,390,41,11,1,0
413195,1257,1,371,346,25,13,0,0
414633,2615,5,341,315,26,1,1,0
339067,4000,3,1062,1049,13,63,1,0
0,0,0,0,0,0,0,0,0
759544,2865,5,300,271,29,6,1,0
414708,1337,6,136,128,8,5,1,0
414374,1174,5,14,12,2,18,1,0
1062621,1534,7,294,265,29,19,1,0
1277855,1394,5,159,150,9,6,1,0
334222,1759,1,120,111,9,3,1,0
0,0,0,0,0,0,0,0,0
1462078,3440,2,24,14,10,136,1,0
216046,950,2,149,126,23,1,1,0
1319134,3501,2,597,267,330,2,1,0
0,0,0,0,0,0,0,0,0
208484,277,0,18,15,3,0,1,0
462697,4091,2,633,368,265,3,1,0
1301,15,0,2,0,2,0,0,0
29255,302,2,43,42,1,2,1,0
196807,1124,1,100,61,39,0,0,0
443274,2214,1,659,635,24,3,1,0
158822,1428,11,421,410,11,16,1,0
0,0,0,0,0,0,0,0,0
919266,6083,4,100,88,12,14,1,0
0,0,0,0,0,0,0,0,0
208561,277,0,18,15,3,0,1,0
0,0,0,0,0,0,0,0,0
702756,2170,5,225,220,5,61,0,0
401688,762,3,51,47,4,4,0,0
112540,38,0,1,1,0,2,0,0
350501,1776,8,166,82,84,9,1,0
1174372,10162,9,2170,2158,12,11,1,0
59530,174,9,6,4,2,1,0,0
306431,2251,2,325,312,13,3,1,0
210395,277,0,18,9,9,0,1,0
349060,2386,4,249,224,25,58,1,0
42388,436,3,80,50,30,60,1,0
11077,90,3,22,19,3,0,1,0
22880,192,3,23,17,6,1,1,0
677668,1945,3,179,111,68,3,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
382751,3832,0,611,521,90,3,0,0
14001,154,1,17,8,9,1,0,0
14128,262,2,37,18,19,9,1,0
208480,277,0,18,9,9,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
48677,310,2,44,22,22,2,1,0
29115,171,1,16,8,8,2,1,0
656204,2094,3,123,114,9,1,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
447252,2901,6,667,527,140,29,1,0
0,0,0,0,0,0,0,0,0
540103,2699,2,395,378,17,35,1,0
187960,2177,1,91,75,16,61,1,0
154824,610,3,33,27,6,1,1,0
0,0,0,0,0,0,0,0,0
400661,1316,3,232,222,10,1,0,0
593019,1481,5,239,225,14,3,0,0
472934,1803,7,363,356,7,3,1,0
16691,128,6,11,11,0,4,0,0
0,0,0,0,0,0,0,0,0
210408,277,0,18,12,6,0,1,0
1367793,3585,11,192,140,52,9,1,0
61181,253,9,7,0,7,12,0,0
56869,639,2,160,142,18,0,1,0
701811,2879,6,220,214,6,30,1,1
0,0,0,0,0,0,0,0,0
364243,1399,4,146,62,84,2,0,0
