res_is_redirect,res_headers_type_num,res_constitute_url_num,res_constitute_domain_type,res_state_code
0,11,38,0,200
0,0,0,0,522
0,11,42,0,200
0,11,71,0,200
0,13,65,7,200
0,13,45,1,200
1,11,864,1,200
0,11,110,1,200
0,13,430,0,200
0,11,8,2,200
0,0,0,0,502
0,11,38,3,200
0,11,144,0,200
0,11,173,0,200
1,12,231,1,200
0,12,137,0,200
1,13,210,2,200
0,11,82,0,200
0,0,0,0,404
0,11,817,29,200
0,11,290,2,200
0,11,40,0,200
0,11,38,1,200
0,0,0,0,502
0,0,0,0,502
0,12,199,0,200
1,11,442,16,200
0,11,89,0,200
1,13,228,22,200
0,11,35,0,200
0,11,27,0,200
0,13,108,3,200
0,0,0,0,502
0,11,38,3,200
0,13,386,3,200
0,11,254,7,200
0,11,55,0,200
0,13,199,2,200
0,11,43,0,200
0,0,0,0,502
0,11,38,3,200
0,0,0,0,502
0,11,38,3,200
0,11,315,5,200
0,11,25,1,200
0,11,38,4,200
0,11,2,0,200
0,11,57,3,200
0,11,33,0,200
0,11,39,4,200
0,0,0,0,502
0,0,0,0,502
0,12,208,1,200
0,11,131,0,200
0,11,38,3,200
0,11,38,0,200
1,11,61,1,200
1,11,25,0,200
0,0,0,0,502
0,0,0,0,502
0,11,618,4,200
0,11,147,1,200
0,11,521,6,200
0,11,18,0,200
0,11,473,4,200
0,0,0,0,502
0,13,74,4,200
0,0,0,0,500
0,11,58,0,200
0,11,26,0,200
0,13,57,1,200
0,11,38,4,200
0,13,173,3,200
0,13,34,0,200
0,11,51,2,200
0,13,31,3,200
0,11,38,1,200
0,0,0,0,502
0,13,165,5,200
0,11,38,4,200
0,11,38,4,200
0,11,343,7,200
0,12,977,1,200
0,0,0,0,502
0,13,851,19,200
0,0,0,0,502
0,11,211,5,200
0,11,38,4,200
0,11,33,2,200
0,11,115,0,200
0,11,118,2,200
1,13,9,2,200
0,13,8,1,200
0,13,7,2,200
0,11,55,3,200
0,0,0,0,502
0,13,1038,18,200
0,13,120,1,200
0,13,304,5,200
0,13,403,18,200
1,11,236,1,200
0,11,59,0,200
0,11,61,1,200
1,11,25,0,200
0,13,375,5,200
0,13,217,6,200
0,11,58,1,200
1,11,1059,21,200
0,0,0,0,502
1,13,600,1,200
1,13,7,0,200
0,11,13,1,200
1,13,110,4,200
0,11,38,3,200
0,11,38,4,200
0,11,244,10,200
0,11,23,0,200
0,11,312,2,200
0,11,273,0,200
0,11,102,2,200
0,11,187,12,200
0,0,0,0,502
0,0,0,0,502
0,11,116,11,200
0,0,0,0,502
0,0,0,0,502
0,11,38,3,200
0,11,903,13,200
0,0,0,0,403
0,0,0,0,403
0,13,121,1,200
0,13,65,0,200
0,0,0,0,502
0,13,19,3,200
0,0,0,0,502
0,0,0,0,502
0,11,38,4,200
0,11,267,1,200
0,11,38,0,200
0,11,704,4,200
0,11,38,3,200
0,11,38,4,200
1,11,80,6,200
0,11,40,0,200
0,13,223,6,200
0,13,638,4,200
0,11,278,7,200
0,0,0,0,502
0,0,0,0,502
0,13,170,4,200
1,11,35,2,200
0,11,38,4,200
0,11,38,3,200
0,13,147,8,200
0,0,0,0,502
0,0,0,0,502
0,11,38,2,200
0,0,0,0,502
0,11,38,4,200
0,0,0,0,502
0,13,252,4,200
0,0,0,0,502
0,13,33,5,200
0,11,38,4,200
0,11,96,1,200
0,13,42,6,200
1,11,15,0,200
0,11,550,3,200
0,0,0,0,502
1,11,2737,7,200
0,0,0,0,502
1,11,38,1,200
0,11,38,0,200
0,11,1481,3,200
0,11,14,0,200
0,0,0,0,502
0,13,3282,11,200
0,11,135,4,200
0,13,82,3,200
0,0,0,0,502
0,11,879,15,200
0,11,316,2,200
0,11,284,0,200
0,0,0,0,403
0,11,117,4,200
0,11,30,0,200
0,11,393,11,200
0,13,259,4,200
1,11,59,1,200
0,6,77,0,200
0,13,1056,6,200
1,11,99,2,200
0,11,39,0,200
0,11,116,2,200
1,11,38,1,200
0,11,530,2,200
0,11,562,0,200
0,0,0,0,502
0,11,1439,20,200
0,11,372,2,200
0,11,65,0,200
0,13,70,3,200
0,11,78,2,200
0,11,122,7,200
0,11,242,8,200
0,0,0,0,502
0,11,38,4,200
0,11,652,4,200
0,0,0,0,502
0,11,38,4,200
0,0,0,0,502
0,11,983,4,200
0,13,595,8,200
0,11,38,3,200
0,0,0,0,522
0,13,761,16,200
0,11,186,4,200
0,11,50,2,200
0,13,681,8,200
0,13,46,1,200
0,0,0,0,502
0,0,0,0,502
0,11,104,3,200
1,11,24,2,200
0,11,80,0,200
1,11,15,0,200
0,13,249,6,200
0,11,748,10,200
0,11,67,1,200
0,11,182,2,200
0,11,77,0,200
0,11,145,6,200
0,13,92,3,200
0,11,79,0,200
0,11,97,2,200
0,0,0,0,403
0,11,267,4,200
0,13,1485,19,200
0,0,0,0,403
0,11,123,4,200
0,11,36,1,200
0,11,38,4,200
0,13,382,6,200
0,11,219,12,200
0,11,258,4,200
0,11,122,13,200
0,0,0,0,502
0,13,505,8,200
0,11,596,3,200
0,11,775,0,200
0,11,940,12,200
1,13,342,9,200
0,11,241,9,200
0,0,0,0,502
0,11,61,4,200
0,11,66,2,200
0,11,441,5,200
0,0,0,0,502
0,11,38,4,200
1,11,142,0,200
0,11,3,1,200
0,11,54,4,200
0,13,8,2,200
0,13,767,27,200
0,11,795,14,200
0,0,0,0,502
0,13,193,5,200
0,0,0,0,502
0,11,38,4,200
0,0,0,0,502
0,11,880,5,200
0,11,100,0,200
0,11,37,7,200
1,13,164,3,200
0,11,1087,10,200
0,11,65,1,200
0,11,123,2,200
0,11,38,3,200
0,13,147,1,200
0,13,1,0,200
0,11,20,5,200
0,6,21,1,200
0,13,299,4,200
0,0,0,0,502
0,0,0,0,404
0,11,183,5,200
0,11,51,0,200
1,11,30,2,200
0,11,38,4,200
0,0,0,0,404
0,0,0,0,502
0,11,58,3,200
1,11,40,1,200
0,13,78,4,200
0,0,0,0,502
0,0,0,0,502
0,11,444,14,200
0,0,0,0,502
1,13,224,4,200
0,13,54,0,200
1,11,72,3,200
0,0,0,0,502
0,11,136,1,200
0,11,147,0,200
0,11,221,6,200
0,11,43,1,200
0,0,0,0,502
0,11,38,4,200
0,13,281,1,200
0,11,120,2,200
0,11,33,1,200
0,13,178,1,200
0,0,0,0,502
0,13,331,18,200
1,11,48,0,200
0,0,0,0,502
0,11,467,1,200
0,11,519,0,200
0,11,66,4,200
0,0,0,0,403
0,0,0,0,502
0,11,443,7,200
0,0,0,0,502
0,13,272,5,200
0,11,46,0,200
0,13,195,0,200
0,11,75,1,200
0,0,0,0,502
