page_len,page_tag_num,page_tech_num,page_domain_type_num,page_like_req_domain_num,page_unlike_req_domain_num,page_hidden_tag_num,page_have_copyright,page_have_redirect
36451,48,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
36090,163,0,3,0,3,0,0,0
43671,223,0,12,10,2,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
11167,82,0,6,1,5,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2695,48,0,1,1,0,0,0,0
37143,51,1,2,0,2,2,0,0
716908,599,1,29,0,29,3,1,0
356692,1378,0,136,100,36,0,1,0
0,0,0,0,0,0,0,0,0
391379,249,6,4,2,2,0,1,0
21290,93,8,0,0,0,4,1,0
36595,124,2,7,4,3,1,0,0
0,0,0,0,0,0,0,0,0
40012,126,1,1,1,0,0,1,0
47937,76,2,1,1,0,3,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
32940,173,6,13,10,3,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
27324,150,1,11,10,1,2,1,1
0,0,0,0,0,0,0,0,0
1059221,101,4,5,5,0,3,1,0
22262,106,1,11,10,1,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
121584,548,2,9,3,6,39,1,0
48562,142,3,6,3,3,2,0,0
0,0,0,0,0,0,0,0,0
271585,172,6,0,0,0,0,1,0
45570,68,0,1,0,1,0,0,0
45588,68,0,1,0,1,0,0,0
23080,214,5,27,11,16,2,0,0
23041,214,5,27,11,16,2,0,0
20101,59,4,1,1,0,0,0,0
20101,59,4,1,1,0,0,0,0
173872,1817,3,478,476,2,7,1,0
0,0,0,0,0,0,0,0,0
77933,498,2,8,1,7,3,1,0
43671,223,0,12,10,2,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
9054,79,1,0,0,0,0,0,0
3903,27,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
3938,26,1,0,0,0,0,0,0
7596,60,2,3,2,1,0,0,0
0,0,0,0,0,0,0,0,0
1479820,171,0,11,3,8,1,1,0
77826,101,1,4,2,2,0,0,0
1952,33,0,0,0,0,2,0,0
116135,251,1,6,6,0,1,1,0
116135,251,1,6,6,0,1,1,0
0,0,0,0,0,0,0,0,0
796090,445,1,82,21,61,1,1,0
62234,77,0,0,0,0,0,0,0
295801,318,3,13,13,0,8,1,0
94289,34,1,3,3,0,1,1,0
96249,44,4,0,0,0,2,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
