res_is_redirect,res_headers_type_num,res_constitute_url_num,res_constitute_domain_type,res_state_code
0,11,33,0,200
0,0,0,0,522
0,11,40,0,200
0,11,69,0,200
0,13,44,7,200
0,13,45,3,200
1,11,576,3,200
0,11,28,0,200
0,13,259,0,200
0,11,8,2,200
0,0,0,0,502
0,11,33,2,200
0,11,92,0,200
0,11,108,0,200
1,12,141,1,200
0,12,79,0,200
1,13,144,2,200
0,11,75,0,200
0,0,0,0,404
0,11,750,28,200
0,11,111,2,200
0,11,22,0,200
0,11,33,1,200
0,0,0,0,502
0,0,0,0,502
0,12,8,0,200
1,11,155,12,200
0,11,73,0,200
1,13,2,2,200
0,11,19,0,200
0,11,18,0,200
0,13,62,1,200
0,0,0,0,502
0,11,33,2,200
0,13,220,3,200
0,11,125,7,200
0,11,37,0,200
0,13,140,1,200
0,11,40,0,200
0,0,0,0,502
0,11,33,2,200
0,0,0,0,502
0,11,33,2,200
0,11,199,4,200
0,11,20,0,200
0,11,34,3,200
0,11,2,0,200
0,11,46,4,200
0,11,32,0,200
0,11,36,3,200
0,0,0,0,502
0,0,0,0,502
0,12,115,1,200
0,11,93,0,200
0,11,33,2,200
0,11,33,0,200
1,11,60,1,200
1,11,21,0,200
0,0,0,0,502
0,0,0,0,502
0,11,118,3,200
0,11,93,1,200
0,11,205,7,200
0,11,17,0,200
0,11,269,3,200
0,0,0,0,502
0,13,73,4,200
0,0,0,0,500
0,11,42,0,200
0,11,23,0,200
0,13,43,1,200
0,11,33,3,200
0,13,87,3,200
0,13,10,0,200
0,11,41,1,200
0,13,31,3,200
0,11,33,1,200
0,0,0,0,502
0,13,102,5,200
0,11,33,3,200
0,11,35,3,200
0,11,187,7,200
0,12,51,1,200
0,0,0,0,502
0,13,568,17,200
0,0,0,0,502
0,11,121,4,200
0,11,33,3,200
0,11,33,2,200
0,11,86,0,200
0,11,98,2,200
1,13,9,2,200
0,13,8,1,200
0,13,6,2,200
0,11,52,3,200
0,0,0,0,502
0,13,988,16,200
0,13,120,1,200
0,13,231,5,200
0,13,375,18,200
1,11,190,1,200
0,11,58,0,200
0,11,60,1,200
1,11,20,0,200
0,13,212,5,200
0,13,33,2,200
0,11,43,2,200
1,11,675,20,200
0,0,0,0,502
1,13,291,1,200
1,13,6,0,200
0,11,9,1,200
1,13,106,4,200
0,11,33,2,200
0,11,33,3,200
0,11,17,3,200
0,11,10,0,200
0,11,238,2,200
0,11,233,0,200
0,11,75,2,200
0,11,113,11,200
0,0,0,0,502
0,0,0,0,502
0,11,110,11,200
0,0,0,0,502
0,0,0,0,502
0,11,37,3,200
0,11,343,12,200
0,0,0,0,403
0,0,0,0,403
0,13,96,2,200
0,13,31,0,200
0,0,0,0,502
0,13,19,3,200
0,0,0,0,502
0,0,0,0,502
0,11,33,3,200
0,11,168,2,200
0,11,23,0,200
0,11,57,2,200
0,11,33,2,200
0,11,33,3,200
1,11,80,6,200
0,11,38,0,200
0,13,154,6,200
0,13,347,5,200
0,11,115,5,200
0,0,0,0,502
0,0,0,0,502
0,13,63,2,200
1,11,12,1,200
0,11,34,3,200
0,11,33,2,200
0,13,116,8,200
0,0,0,0,502
0,0,0,0,502
0,11,33,2,200
0,0,0,0,502
0,11,33,3,200
0,0,0,0,502
0,13,197,4,200
0,0,0,0,502
0,13,11,4,200
0,11,33,3,200
0,11,60,3,200
0,13,40,4,200
1,11,13,0,200
0,11,256,19,200
0,0,0,0,502
1,11,891,2,200
0,0,0,0,502
1,11,36,1,200
0,11,36,0,200
0,11,525,3,200
0,11,14,0,200
0,0,0,0,502
0,13,1293,12,200
0,11,104,3,200
0,13,47,4,200
0,0,0,0,502
0,11,731,15,200
0,11,277,2,200
0,11,258,0,200
0,0,0,0,403
