dyn_page_len,dyn_page_tag_num,dyn_page_tech_num,dyn_page_domain_type_num,dyn_page_like_req_domain_num,dyn_page_unlike_req_domain_num,dyn_page_hidden_tag_num,dyn_page_have_copyright,dyn_page_have_redirect,dyn_res_is_redirect,dyn_res_headers_type_num,dyn_res_constitute_url_num,dyn_res_constitute_domain_type
0,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,2,0
81568,79,0,8,7,1,13,0,0,0,0,21,0
0,0,0,0,0,0,0,0,0,0,0,0,-2
73418,300,0,31,5,26,1,0,0,0,0,288,-2
673,2,0,0,0,0,2,0,0,0,0,82,1
16571,8,0,2,2,0,-1,0,0,0,0,171,0
-150,-1,0,-1,-1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5,1
0,0,0,0,0,0,0,0,0,0,0,52,0
8295,63,1,3,3,0,0,0,0,0,0,65,0
60756,0,0,0,0,0,-1,0,0,0,0,90,0
56816,9,0,0,0,0,1,0,0,0,0,58,0
135377,820,0,110,50,60,1,0,0,0,0,66,0
0,0,0,0,0,0,0,0,0,0,0,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0
3004,7,0,2,2,0,-3,0,0,0,0,67,1
74794,549,0,48,0,48,1,0,0,0,0,179,0
3127,15,0,2,0,2,1,0,0,0,0,18,0
0,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
77318,248,0,37,15,22,2,0,0,0,0,191,0
302778,2661,0,156,8,148,1,0,0,0,0,287,4
-541,-7,0,0,0,0,0,0,0,0,0,16,0
647202,3048,2,554,338,216,9,0,0,0,0,226,20
112098,166,0,17,13,4,1,0,0,0,0,16,0
112858,174,0,20,16,4,1,0,0,0,0,9,0
174353,16,0,0,0,0,2,0,0,0,0,46,2
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5,1
16406,7,0,2,2,0,-1,0,0,0,0,166,0
100215,753,0,48,3,45,2,0,0,0,0,129,0
61510,175,0,3,0,3,3,0,0,0,0,18,0
15899,156,0,92,59,33,0,0,0,0,0,59,1
0,0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0
